ID,数学,判定
19990001,81,A
19990002,93,A
19990003,53,不合格
19990004,38,不合格
19990005,36,不合格
19990006,87,A
19990007,49,不合格
19990008,79,B
19990009,35,不合格
19990010,38,不合格
19990011,18,不合格
19990012,21,不合格
19990013,22,不合格
19990014,86,A
19990015,3,不合格
19990016,23,不合格
19990017,61,B
19990018,78,B
19990019,70,B
19990020,60,B
19990021,96,A
19990022,95,A
19990023,20,不合格
19990024,12,不合格
19990025,43,不合格
19990026,2,不合格
19990027,3,不合格
19990028,13,不合格
19990029,70,B
19990030,82,A
19990031,35,不合格
19990032,34,不合格
19990033,53,不合格
19990034,34,不合格
19990035,45,不合格
19990036,24,不合格
19990037,75,B
19990038,34,不合格
19990039,18,不合格
19990040,8,不合格
19990041,1,不合格
19990042,63,B
19990043,95,A
19990044,19,不合格
19990045,36,不合格
19990046,14,不合格
19990047,6,不合格
19990048,87,A
19990049,29,不合格
19990050,12,不合格
19990051,68,B
19990052,69,B
19990053,32,不合格
19990054,88,A
19990055,23,不合格
19990056,75,B
19990057,53,不合格
19990058,80,A
19990059,86,A
19990060,86,A
19990061,59,不合格
19990062,11,不合格
19990063,20,不合格
19990064,47,不合格
19990065,45,不合格
19990066,63,B
19990067,30,不合格
19990068,29,不合格
19990069,18,不合格
19990070,25,不合格
19990071,48,不合格
19990072,58,不合格
19990073,77,B
19990074,66,B
19990075,2,不合格
19990076,92,A
19990077,20,不合格
19990078,47,不合格
19990079,95,A
19990080,37,不合格
19990081,2,不合格
19990082,58,不合格
19990083,42,不合格
19990084,75,B
19990085,74,B
19990086,75,B
19990087,59,不合格
19990088,3,不合格
19990089,69,B
19990090,81,A
19990091,77,B
19990092,80,A
19990093,35,不合格
19990094,56,不合格
19990095,25,不合格
19990096,88,A
19990097,86,A
19990098,38,不合格
19990099,53,不合格
19990100,55,不合格
19990101,89,A
19990102,21,不合格
19990103,93,A
19990104,43,不合格
19990105,14,不合格
19990106,11,不合格
19990107,64,B
19990108,59,不合格
19990109,93,A
19990110,8,不合格
19990111,73,B
19990112,65,B
19990113,32,不合格
19990114,72,B
19990115,34,不合格
19990116,48,不合格
19990117,62,B
19990118,50,不合格
19990119,5,不合格
19990120,9,不合格
19990121,80,A
19990122,23,不合格
19990123,22,不合格
19990124,15,不合格
19990125,34,不合格
19990126,0,不合格
19990127,8,不合格
19990128,3,不合格
19990129,51,不合格
19990130,60,B
19990131,47,不合格
19990132,75,B
19990133,10,不合格
19990134,33,不合格
19990135,79,B
19990136,50,不合格
19990137,55,不合格
19990138,84,A
19990139,71,B
19990140,34,不合格
19990141,23,不合格
19990142,52,不合格
19990143,64,B
19990144,98,A
19990145,68,B
19990146,56,不合格
19990147,85,A
19990148,15,不合格
19990149,12,不合格
19990150,57,不合格
19990151,80,A
19990152,80,A
19990153,61,B
19990154,23,不合格
19990155,35,不合格
19990156,36,不合格
19990157,89,A
19990158,90,A
19990159,15,不合格
19990160,16,不合格
19990161,44,不合格
19990162,88,A
19990163,97,A
19990164,73,B
19990165,67,B
19990166,60,B
19990167,42,不合格
19990168,46,不合格
19990169,47,不合格
19990170,92,A
19990171,42,不合格
19990172,39,不合格
19990173,59,不合格
19990174,96,A
19990175,17,不合格
19990176,44,不合格
19990177,13,不合格
19990178,93,A
19990179,45,不合格
19990180,60,B
19990181,85,A
19990182,60,B
19990183,94,A
19990184,28,不合格
19990185,63,B
19990186,54,不合格
19990187,21,不合格
19990188,10,不合格
19990189,30,不合格
19990190,71,B
19990191,99,A
19990192,50,不合格
19990193,48,不合格
19990194,74,B
19990195,21,不合格
19990196,45,不合格
19990197,17,不合格
19990198,55,不合格
19990199,58,不合格
19990200,54,不合格
19990201,17,不合格
19990202,51,不合格
19990203,44,不合格
19990204,4,不合格
19990205,55,不合格
19990206,50,不合格
19990207,19,不合格
19990208,54,不合格
19990209,13,不合格
19990210,27,不合格
19990211,13,不合格
19990212,28,不合格
19990213,73,B
19990214,84,A
19990215,45,不合格
19990216,87,A
19990217,1,不合格
19990218,87,A
19990219,65,B
19990220,49,不合格
19990221,55,不合格
19990222,7,不合格
19990223,64,B
19990224,67,B
19990225,77,B
19990226,5,不合格
19990227,61,B
19990228,17,不合格
19990229,56,不合格
19990230,17,不合格
19990231,31,不合格
19990232,76,B
19990233,4,不合格
19990234,2,不合格
19990235,36,不合格
19990236,51,不合格
19990237,88,A
19990238,57,不合格
19990239,39,不合格
19990240,2,不合格
19990241,60,B
19990242,77,B
19990243,72,B
19990244,11,不合格
19990245,90,A
19990246,27,不合格
19990247,36,不合格
19990248,86,A
19990249,34,不合格
19990250,19,不合格
19990251,39,不合格
19990252,95,A
19990253,3,不合格
19990254,16,不合格
19990255,71,B
19990256,42,不合格
19990257,1,不合格
19990258,83,A
19990259,6,不合格
19990260,14,不合格
19990261,29,不合格
19990262,81,A
19990263,39,不合格
19990264,10,不合格
19990265,78,B
19990266,15,不合格
19990267,61,B
19990268,8,不合格
19990269,43,不合格
19990270,37,不合格
19990271,9,不合格
19990272,60,B
19990273,10,不合格
19990274,21,不合格
19990275,55,不合格
19990276,95,A
19990277,96,A
19990278,27,不合格
19990279,10,不合格
19990280,77,B
19990281,29,不合格
19990282,14,不合格
19990283,20,不合格
19990284,83,A
19990285,25,不合格
